time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/value_loss,train/learning_rate,train/policy_loss,train/n_updates,train/entropy_loss,resources/memory_mb,resources/cpu_percent
1136,171,154,175104,-0.06704246997833252,0.0580473393201828,0.0002,0.03869571536779404,170,-1.095059871673584,,
1132,172,155,176128,-8.441351890563965,0.032467059791088104,0.0002,-0.03940048813819885,171,-1.0950884819030762,,
1129,173,156,177152,-6.711767196655273,0.017551014199852943,0.0002,-0.013665387406945229,172,-1.0948407649993896,,
1124,174,158,178176,-11.283894538879395,0.01838049478828907,0.0002,0.014916293323040009,173,-1.0950171947479248,,
1120,175,159,179200,-16.385494232177734,0.016541097313165665,0.0002,-0.004705752246081829,174,-1.0950634479522705,,
1117,176,161,180224,-16.775394439697266,0.018312066793441772,0.0002,-0.013068975880742073,175,-1.0946366786956787,,
1113,177,162,181248,-35.678611755371094,0.03448385000228882,0.0002,0.00323194800876081,176,-1.0950483083724976,,
1109,178,164,182272,-20.652862548828125,0.053065866231918335,0.0002,-0.0008378908969461918,177,-1.0952019691467285,,
1105,179,165,183296,-12.471835136413574,0.01844179444015026,0.0002,-0.01389700174331665,178,-1.0951002836227417,,
1101,180,167,184320,-8.565872192382812,0.05580652505159378,0.0002,-0.008902213536202908,179,-1.095008134841919,,
1097,181,168,185344,-12.173016548156738,0.02378968521952629,0.0002,-0.004477246198803186,180,-1.0948286056518555,,
1093,182,170,186368,-9.732621192932129,0.051374997943639755,0.0002,-0.014709176495671272,181,-1.0949255228042603,,
1089,183,171,187392,-7.184297561645508,0.014694207347929478,0.0002,0.0011730033438652754,182,-1.0949914455413818,,
1086,184,173,188416,-8.623663902282715,0.008012278005480766,0.0002,-0.0047478703781962395,183,-1.0947911739349365,,
1082,185,175,189440,-21.623676300048828,0.017626766115427017,0.0002,0.0022658288944512606,184,-1.095022439956665,,
1078,186,176,190464,-0.009671211242675781,0.05741840600967407,0.0002,0.0419379323720932,185,-1.0943711996078491,,
1075,187,178,191488,-16.35260772705078,0.04926186054944992,0.0002,-0.0433838814496994,186,-1.0952305793762207,,
1071,188,179,192512,-15.873064041137695,0.026704836636781693,0.0002,-0.0020031353924423456,187,-1.095340609550476,,
1068,189,181,193536,-24.704862594604492,0.04066150262951851,0.0002,-0.01565682701766491,188,-1.0953972339630127,,
1064,190,182,194560,-17.959909439086914,0.03375567868351936,0.0002,-0.01586836762726307,189,-1.0954039096832275,,
1061,191,184,195584,-28.973913192749023,0.012785878032445908,0.0002,0.004164513200521469,190,-1.0954790115356445,,
1059,192,185,196608,-8.49868106842041,0.03645101934671402,0.0002,0.002706360537558794,191,-1.095528483390808,,
1056,193,187,197632,-9.339900970458984,0.011045051738619804,0.0002,-0.0027103200554847717,192,-1.095583200454712,,
1053,194,188,198656,-6.9910078048706055,0.06086420267820358,0.0002,-0.015273330733180046,193,-1.0954997539520264,,
1051,195,189,199680,-17.045888900756836,0.014212677255272865,0.0002,0.0006782226264476776,194,-1.0955698490142822,,
1047,196,191,200704,-17.021562576293945,0.04813651368021965,0.0002,-0.01465051993727684,195,-1.0956171751022339,13517.20703125,21.1
1045,197,193,201728,-13.78026294708252,0.028314270079135895,0.0002,0.010694034397602081,196,-1.0953993797302246,,
1038,198,195,202752,-18.215009689331055,0.019258053973317146,0.0002,-0.015699274837970734,197,-1.095536708831787,,
1032,199,197,203776,-22.68056869506836,0.028610829263925552,0.0002,-0.003456403501331806,198,-1.0955262184143066,,
1028,200,199,204800,-16.321950912475586,0.020944509655237198,0.0002,-0.0024109208025038242,199,-1.0955235958099365,,
