time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/entropy_loss,train/policy_loss,train/learning_rate,train/explained_variance,train/n_updates,resources/cpu_percent,resources/memory_mb
153,1753,268288,131,0.007336953654885292,-1.097396731376648,-0.0063558053225278854,0.0002,-7.86029052734375,130,,
154,1747,270336,132,0.010101094841957092,-1.0973875522613525,0.001962018897756934,0.0002,-8.643913269042969,131,,
156,1742,272384,133,0.01504953671246767,-1.0974432229995728,0.0007037747418507934,0.0002,-4.635849952697754,132,,
158,1735,274432,134,0.03498661518096924,-1.0973756313323975,0.013159624300897121,0.0002,-1.688819408416748,133,,
159,1729,276480,135,0.01982741802930832,-1.0974273681640625,-0.028157411143183708,0.0002,-13.997469902038574,134,,
161,1723,278528,136,0.010435606352984905,-1.0974493026733398,-0.001554143032990396,0.0002,-11.358126640319824,135,,
163,1718,280576,137,0.010475493967533112,-1.097496509552002,0.006964337546378374,0.0002,-1.5684497356414795,136,,
164,1713,282624,138,0.017403408885002136,-1.0974386930465698,-0.014777068048715591,0.0002,-16.4780216217041,137,,
166,1706,284672,139,0.011076170019805431,-1.097428560256958,0.013513351790606976,0.0002,-4.985470294952393,138,,
168,1699,286720,140,0.006928957998752594,-1.097456693649292,-0.018640372902154922,0.0002,-8.988858222961426,139,,
170,1694,288768,141,0.00948983896523714,-1.0974847078323364,0.003807070665061474,0.0002,-9.983980178833008,140,,
172,1688,290816,142,0.006691185757517815,-1.0974452495574951,0.0002543377922847867,0.0002,-9.100301742553711,141,,
174,1682,292864,143,0.015777185559272766,-1.0974376201629639,-0.005121008027344942,0.0002,-10.454587936401367,142,,
175,1676,294912,144,0.015737224370241165,-1.0975089073181152,0.009879076853394508,0.0002,-1.9205505847930908,143,,
177,1669,296960,145,0.020961690694093704,-1.0974732637405396,-0.018107827752828598,0.0002,-3.9892473220825195,144,,
179,1664,299008,146,0.030807726085186005,-1.0974572896957397,-0.003781783627346158,0.0002,-4.024682998657227,145,,
181,1659,301056,147,0.011469054035842419,-1.0975419282913208,-0.005765249952673912,0.0002,-15.804725646972656,146,,
183,1653,303104,148,0.006851176265627146,-1.097491979598999,0.002955102128908038,0.0002,-11.964980125427246,147,,
185,1648,305152,149,0.006132061593234539,-1.0974977016448975,0.003037917660549283,0.0002,-11.921218872070312,148,,
187,1641,307200,150,0.006065181456506252,-1.0975780487060547,-0.005287069361656904,0.0002,-9.771356582641602,149,,
188,1636,309248,151,0.006424171384423971,-1.0975351333618164,0.005307099781930447,0.0002,-16.334407806396484,150,,
190,1630,311296,152,0.009045131504535675,-1.0975520610809326,-0.006326352711766958,0.0002,-15.926839828491211,151,,
192,1625,313344,153,0.007964962162077427,-1.097553014755249,0.0041284444741904736,0.0002,-18.857006072998047,152,,
194,1619,315392,154,0.010609406977891922,-1.0975353717803955,-0.009512655436992645,0.0002,-9.021113395690918,153,,
196,1612,317440,155,0.02708902582526207,-1.0975160598754883,-0.0024325582198798656,0.0002,-8.11793327331543,154,,
198,1607,319488,156,0.024608787149190903,-1.0974678993225098,-0.005878548137843609,0.0002,-10.045890808105469,155,,
200,1601,321536,157,0.014195960015058517,-1.097532868385315,-0.008185169659554958,0.0002,-18.069976806640625,156,10.4,7471.671875
202,1596,323584,158,0.012890104204416275,-1.0975017547607422,0.008963498286902905,0.0002,-17.152565002441406,157,,
204,1590,325632,159,0.005087091121822596,-1.0974903106689453,-0.009660672396421432,0.0002,-15.581451416015625,158,,
206,1585,327680,160,0.00673199538141489,-1.0974795818328857,0.010805686004459858,0.0002,-10.968860626220703,159,,
208,1578,329728,161,0.005357404239475727,-1.0974829196929932,-0.01047405693680048,0.0002,-14.372575759887695,160,,
210,1573,331776,162,0.006508359685540199,-1.0974550247192383,0.007759912870824337,0.0002,-10.064885139465332,161,,
212,1568,333824,163,0.011501542292535305,-1.097519874572754,-0.007865997031331062,0.0002,-6.310494422912598,162,,
215,1562,335872,164,0.007198257837444544,-1.097553014755249,-4.56726411357522e-05,0.0002,-18.048309326171875,163,,
216,1557,337920,165,0.014822784811258316,-1.0974950790405273,-0.002445346675813198,0.0002,-11.426114082336426,164,,
218,1552,339968,166,0.0054432544857263565,-1.0974100828170776,-0.000518381129950285,0.0002,-11.084123611450195,165,,
220,1547,342016,167,0.018750539049506187,-1.097423791885376,0.005345785990357399,0.0002,-2.2148971557617188,166,,
223,1542,344064,168,0.007838282734155655,-1.0974055528640747,-0.017823489382863045,0.0002,-20.793136596679688,167,,
225,1536,346112,169,0.01174827478826046,-1.0974502563476562,0.00865991972386837,0.0002,-14.48764419555664,168,,
