time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_loss,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/entropy_loss,resources/memory_mb,resources/cpu_percent
1233,169,280,346112,-0.00013436819426715374,168,0.013378562405705452,0.0002,-16.52030372619629,-1.0968756675720215,,
1229,170,283,348160,-0.004183461889624596,169,0.019732754677534103,0.0002,-13.047531127929688,-1.096914291381836,,
1224,171,285,350208,0.009252175688743591,170,0.023935135453939438,0.0002,-5.090682506561279,-1.0969516038894653,,
1220,172,288,352256,-0.031241927295923233,171,0.022207852452993393,0.0002,-26.029319763183594,-1.0968698263168335,,
1216,173,291,354304,0.012635416351258755,172,0.02520322985947132,0.0002,-11.233635902404785,-1.0969715118408203,,
1211,174,294,356352,-0.01686139404773712,173,0.01774206943809986,0.0002,-10.066092491149902,-1.0969963073730469,,
1207,175,296,358400,0.006080925930291414,174,0.015983860939741135,0.0002,-23.152639389038086,-1.0970163345336914,,
1203,176,299,360448,-0.013635877519845963,175,0.017742997035384178,0.0002,-15.225940704345703,-1.097046136856079,,
1199,177,302,362496,0.00669784564524889,176,0.018849719315767288,0.0002,-7.483954429626465,-1.0971155166625977,,
1194,178,305,364544,-0.019996263086795807,177,0.015837011858820915,0.0002,-15.46163558959961,-1.097021460533142,,
1190,179,307,366592,0.0074106985703110695,178,0.06410232186317444,0.0002,-5.1720991134643555,-1.0970368385314941,,
1186,180,310,368640,-0.026645686477422714,179,0.014204305596649647,0.0002,-11.637777328491211,-1.0970641374588013,,
1181,181,313,370688,0.017417175695300102,180,0.03691420331597328,0.0002,-15.981298446655273,-1.0969972610473633,,
1177,182,316,372736,0.0016311827348545194,181,0.04021364450454712,0.0002,-0.1249610185623169,-1.097116231918335,,
1173,183,319,374784,-0.02839897945523262,182,0.07334885001182556,0.0002,-6.471386432647705,-1.0970604419708252,,
1169,184,322,376832,0.002020942745730281,183,0.026025746017694473,0.0002,-8.505553245544434,-1.0971404314041138,,
1164,185,325,378880,-0.014207925647497177,184,0.014019859954714775,0.0002,-9.004622459411621,-1.0971434116363525,,
1161,186,328,380928,0.00788036361336708,185,0.06443262100219727,0.0002,-16.366527557373047,-1.097058653831482,,
1156,187,331,382976,-0.030691809952259064,186,0.014125609770417213,0.0002,-12.7586088180542,-1.0970659255981445,,
1152,188,334,385024,0.017972666770219803,187,0.01392744854092598,0.0002,-31.77297592163086,-1.097090482711792,,
1148,189,337,387072,-0.027255330234766006,188,0.014492415823042393,0.0002,-15.059675216674805,-1.0970706939697266,,
1144,190,340,389120,0.021413052454590797,189,0.023423634469509125,0.0002,-24.26221466064453,-1.0971002578735352,,
1139,191,343,391168,-0.019577737897634506,190,0.008067802526056767,0.0002,-11.955437660217285,-1.0971026420593262,,
1134,192,346,393216,0.016484878957271576,191,0.01882730796933174,0.0002,-5.1928606033325195,-1.097090721130371,,
1129,193,349,395264,-0.023852890357375145,192,0.0059866225346922874,0.0002,-6.743522644042969,-1.0970652103424072,,
1125,194,352,397312,0.024995338171720505,193,0.007352373097091913,0.0002,-24.414072036743164,-1.0971403121948242,,
1121,195,356,399360,-0.01998637616634369,194,0.008142066188156605,0.0002,-15.666448593139648,-1.0970385074615479,,
1117,196,359,401408,0.020190488547086716,195,0.005433100275695324,0.0002,-11.321721076965332,-1.0970861911773682,7436.5078125,16.0
1113,197,362,403456,-0.017041079699993134,196,0.00810554251074791,0.0002,-18.048852920532227,-1.0971128940582275,,
1110,198,365,405504,0.01395466923713684,197,0.005601552315056324,0.0002,-11.548227310180664,-1.0971770286560059,,
1106,199,368,407552,-0.012327094562351704,198,0.007570958696305752,0.0002,-21.367206573486328,-1.097135066986084,,
1102,200,371,409600,0.010175202041864395,199,0.09886310994625092,0.0002,-3.5518860816955566,-1.0971555709838867,,
1099,201,374,411648,-0.03408154100179672,200,0.025926431640982628,0.0002,-17.927438735961914,-1.0971379280090332,,
1095,202,377,413696,0.003626525402069092,201,0.02495633438229561,0.0002,-14.98480224609375,-1.097103476524353,,
1091,203,380,415744,-0.019023481756448746,202,0.036578673869371414,0.0002,-28.250219345092773,-1.0970197916030884,,
1088,204,383,417792,0.004288901574909687,203,0.014634744264185429,0.0002,-17.42711067199707,-1.0971057415008545,,
1084,205,387,419840,-0.014059387147426605,204,0.010224152356386185,0.0002,-26.373029708862305,-1.0970499515533447,,
1080,206,390,421888,0.015487093478441238,205,0.007549213245511055,0.0002,-18.372333526611328,-1.0970451831817627,,
1077,207,393,423936,-0.003629745915532112,206,0.03080691769719124,0.0002,-0.9821875095367432,-1.0970754623413086,,
1073,208,396,425984,-0.008652979508042336,207,0.009013326838612556,0.0002,-12.671597480773926,-1.0969669818878174,,
1069,209,400,428032,0.0022504266817122698,208,0.011976596899330616,0.0002,-11.121710777282715,-1.096968412399292,,
1066,210,403,430080,-0.006679988466203213,209,0.014032679609954357,0.0002,-20.06517791748047,-1.096935510635376,,
1062,211,406,432128,-0.003541175276041031,210,0.016331592574715614,0.0002,-20.675077438354492,-1.0970385074615479,,
1059,212,409,434176,0.007944481447339058,211,0.030444135889410973,0.0002,-1.1479547023773193,-1.0970044136047363,,
1055,213,413,436224,-0.03281465172767639,212,0.05905253067612648,0.0002,-6.869205951690674,-1.0970426797866821,,
1052,214,416,438272,0.005889207124710083,213,0.022213323041796684,0.0002,-11.638168334960938,-1.096863031387329,,
1048,215,419,440320,-0.018236951902508736,214,0.00711185485124588,0.0002,-21.221254348754883,-1.096957802772522,,
1045,216,422,442368,0.02037917822599411,215,0.008858912624418736,0.0002,-12.197834968566895,-1.0970348119735718,,
1042,217,426,444416,-0.02720658667385578,216,0.008205333724617958,0.0002,-15.364179611206055,-1.097013235092163,,
1039,218,429,446464,0.01915827766060829,217,0.012480063363909721,0.0002,-14.335915565490723,-1.0970982313156128,,
1035,219,432,448512,-0.02660183049738407,218,0.022768687456846237,0.0002,-9.286499977111816,-1.0969724655151367,,
1032,220,436,450560,0.02103385701775551,219,0.01140768826007843,0.0002,-2.433685779571533,-1.0970618724822998,,
1028,221,439,452608,-0.026174649596214294,220,0.006515671499073505,0.0002,-5.834366321563721,-1.0969372987747192,,
1025,222,443,454656,0.03161533176898956,221,0.025523114949464798,0.0002,-1.8550388813018799,-1.0970673561096191,,
1022,223,446,456704,-0.021201642230153084,222,0.008251016028225422,0.0002,-18.155696868896484,-1.0969750881195068,,
1019,224,450,458752,0.020043522119522095,223,0.004659093450754881,0.0002,-16.28211784362793,-1.097041130065918,,
1015,225,453,460800,-0.028102725744247437,224,0.024303659796714783,0.0002,-26.52199363708496,-1.0970351696014404,,
1012,226,457,462848,0.015468285419046879,225,0.020762290805578232,0.0002,-12.151447296142578,-1.0969772338867188,,
1008,227,460,464896,-0.026012316346168518,226,0.02652733027935028,0.0002,-6.65087890625,-1.0970112085342407,,
1005,228,464,466944,0.01728486455976963,227,0.01591680943965912,0.0002,-11.068840980529785,-1.0970263481140137,,
1002,229,467,468992,-0.02631589211523533,228,0.01102624461054802,0.0002,-16.281982421875,-1.09701406955719,,
999,230,471,471040,0.018003106117248535,229,0.01645888388156891,0.0002,-8.044637680053711,-1.097008228302002,,
996,231,474,473088,-0.02804437465965748,230,0.010988002642989159,0.0002,-16.650245666503906,-1.0969746112823486,,
993,232,478,475136,0.01697402633726597,231,0.011048609390854836,0.0002,-10.762312889099121,-1.0969486236572266,,
990,233,481,477184,-0.025499045848846436,232,0.01644708961248398,0.0002,-21.533586502075195,-1.0970075130462646,,
987,234,485,479232,0.024006348103284836,233,0.006465243175625801,0.0002,-17.065567016601562,-1.0969927310943604,,
984,235,488,481280,-0.024852802976965904,234,0.011392172425985336,0.0002,-14.937337875366211,-1.0971382856369019,8255.44140625,14.0
981,236,492,483328,0.021970607340335846,235,0.019280217587947845,0.0002,-19.79348373413086,-1.0971121788024902,,
978,237,495,485376,-0.02312270924448967,236,0.006684689782559872,0.0002,-13.016824722290039,-1.0970525741577148,,
975,238,499,487424,0.018833789974451065,237,0.02890418842434883,0.0002,-13.72490119934082,-1.0970698595046997,,
972,239,503,489472,-0.023724503815174103,238,0.003976806998252869,0.0002,-6.374420166015625,-1.0970566272735596,,
