time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_rew_mean,rollout/ep_len_mean
2434,74,151552,62,-0.02053689956665039,0.0002,-0.03383704274892807,73,0.1442759931087494,-0.7405983209609985,,,,
2425,75,153600,63,-0.0510554313659668,0.0002,0.01484215259552002,74,0.15334582328796387,-0.7394875884056091,,,,
2410,76,155648,64,-0.05436110496520996,0.0002,-0.03160397708415985,75,0.14707067608833313,-0.7406316995620728,,,,
2400,77,157696,65,-0.06389880180358887,0.0002,0.005523291416466236,76,0.14650094509124756,-0.7346007823944092,,,,
2386,78,159744,66,-0.0034906864166259766,0.0002,-0.011095666326582432,77,0.1712397336959839,-0.736579179763794,,,,
2371,79,161792,68,-0.018215060234069824,0.0002,0.000424789497628808,78,0.13884857296943665,-0.7406413555145264,8.2,14445.7265625,,
2364,80,163840,69,0.16620898246765137,0.0002,-0.014928645454347134,79,0.1419590413570404,-0.7383853197097778,,,,
2357,81,165888,70,0.2425769567489624,0.0002,0.012789376080036163,80,0.14276280999183655,-0.7366873621940613,,,,
2348,82,167936,71,0.27770715951919556,0.0002,-0.028868021443486214,81,0.14066529273986816,-0.7382342219352722,,,,
2333,83,169984,72,0.18071824312210083,0.0002,0.014732838608324528,82,0.14817996323108673,-0.7373048067092896,,,,
2314,84,172032,74,0.25942206382751465,0.0002,-0.024659734219312668,83,0.14810965955257416,-0.7379289865493774,,,,
2300,85,174080,75,0.2626166343688965,0.0002,0.004248211160302162,84,0.1387253701686859,-0.7388880848884583,,,,
2286,86,176128,77,0.262908935546875,0.0002,-0.018387366086244583,85,0.14641734957695007,-0.7377515435218811,,,,
2274,87,178176,78,0.3119298815727234,0.0002,0.01598442532122135,86,0.14431312680244446,-0.7384918928146362,,,,
2262,88,180224,79,0.4608522653579712,0.0002,-0.0206656102091074,87,0.1396128237247467,-0.7374576330184937,,,,
2252,89,182272,80,0.450256884098053,0.0002,-0.012549445033073425,88,0.1426849067211151,-0.7382936477661133,,,,
2244,90,184320,82,0.39600396156311035,0.0002,0.0029849563725292683,89,0.14274659752845764,-0.7336676120758057,,,,
2236,91,186368,83,0.3083764910697937,0.0002,-0.023705950006842613,90,0.15966585278511047,-0.7353143692016602,,,,
2227,92,188416,84,0.4123498797416687,0.0002,0.024802815169095993,91,0.15494513511657715,-0.7361582517623901,,,,
2219,93,190464,85,0.38302791118621826,0.0002,-0.034835442900657654,92,0.13959884643554688,-0.735552191734314,,,,
2211,94,192512,87,0.47367119789123535,0.0002,0.021873321384191513,93,0.15212982892990112,-0.7355194687843323,,,,
2203,95,194560,88,0.4225088357925415,0.0002,-0.017003674060106277,94,0.15060456097126007,-0.7355093359947205,,,,
2196,96,196608,89,0.5228576064109802,0.0002,-0.0038208216428756714,95,0.14987845718860626,-0.737571120262146,,,,
2188,97,198656,90,0.6351775527000427,0.0002,-0.008917871862649918,96,0.1479427069425583,-0.734707236289978,,,,
2179,98,200704,92,0.6278734803199768,0.0002,0.011999040842056274,97,0.1441747546195984,-0.7305814027786255,,,,
2173,99,202752,93,0.6232386529445648,0.0002,-0.04348847642540932,98,0.14314407110214233,-0.7270783185958862,,,,
2167,100,204800,94,0.6145683526992798,0.0002,-0.030316688120365143,99,0.15340691804885864,-0.7252410650253296,,,,
2160,101,206848,95,0.6450830101966858,0.0002,0.061801157891750336,100,0.15514352917671204,-0.7255613803863525,,,,
2153,102,208896,97,0.6194006204605103,0.0002,-0.003496004268527031,101,0.1575547605752945,-0.7278513312339783,,,,
2142,103,210944,98,0.5799317359924316,0.0002,0.01966879516839981,102,0.16334091126918793,-0.7297306656837463,,,,
2135,104,212992,99,0.5743298232555389,0.0002,-0.036365363746881485,103,0.1783987283706665,-0.7277997732162476,,,,
2129,105,215040,100,0.6049900650978088,0.0002,-0.0024839425459504128,104,0.15502266585826874,-0.7249009609222412,,,,
2123,106,217088,102,0.594685435295105,0.0002,-0.02514318749308586,105,0.1496644765138626,-0.6922673583030701,,,,
2118,107,219136,103,0.5253835320472717,0.0002,0.006730119232088327,106,0.14478939771652222,-0.6927833557128906,,,,
2112,108,221184,104,0.44058436155319214,0.0002,-0.024915698915719986,107,0.14821545779705048,-0.6901102662086487,,,,
2106,109,223232,105,0.312298059463501,0.0002,0.00923474133014679,108,0.17202356457710266,-0.673528254032135,,,,
2100,110,225280,107,0.5630138218402863,0.0002,-0.01139485277235508,109,0.1567019522190094,-0.6629903316497803,,,,
2094,111,227328,108,0.5305766463279724,0.0002,-0.006380926351994276,110,0.15059258043766022,-0.6249268054962158,,,,
2082,112,229376,110,0.6538731753826141,0.0002,-0.015508679673075676,111,0.13301591575145721,-0.6266958713531494,,,,
2067,113,231424,111,0.6340294182300568,0.0002,0.011789143085479736,112,0.1329803615808487,-0.6203540563583374,,,,
2059,114,233472,113,0.3998911380767822,0.0002,-0.00032753124833106995,113,0.1625453233718872,-0.6367068290710449,,,,
2047,115,235520,115,0.5721831321716309,0.0002,0.0006504132179543376,114,0.14923912286758423,-0.6411057114601135,,,,
2037,116,237568,116,0.6804504692554474,0.0002,-0.02644427865743637,115,0.14543457329273224,-0.6381099224090576,,,,
2026,117,239616,118,0.7075466215610504,0.0002,0.0331413596868515,116,0.13638398051261902,-0.6466186046600342,,,,
2007,118,241664,120,0.6412286162376404,0.0002,-0.007323787547647953,117,0.14111559092998505,-0.647740364074707,50.0,10703.73828125,,
1988,119,243712,122,0.3364076614379883,0.0002,0.006213204003870487,118,0.1401495635509491,-0.6738203167915344,,,,
1973,120,245760,124,0.42957043647766113,0.0002,-0.01575782336294651,119,0.16271618008613586,-0.6905362010002136,,,,
1957,121,247808,126,0.5354584455490112,0.0002,0.020796488970518112,120,0.14934608340263367,-0.7085515856742859,,,,
1941,122,249856,128,0.5724239945411682,0.0002,-0.020662706345319748,121,0.12900453805923462,-0.7017195224761963,,,,
1932,123,251904,130,0.4750022292137146,0.0002,0.007994524203240871,122,0.1432918906211853,-0.703624427318573,,,,
1926,124,253952,131,0.09721297025680542,0.0002,-0.020859569311141968,123,0.15011762082576752,-0.6912760138511658,,,,
1917,125,256000,133,-0.2858051061630249,0.0002,0.011655168607831001,124,0.15977483987808228,-0.6945409774780273,,,,
1904,126,258048,135,0.3323785662651062,0.0002,-0.023219775408506393,125,0.1342022866010666,-0.7050073742866516,,,,
1898,127,260096,136,0.3986667990684509,0.0002,0.012727169319987297,126,0.1431703120470047,-0.700774073600769,,,,
1892,128,262144,138,0.49367427825927734,0.0002,-0.019104622304439545,127,0.14381688833236694,-0.6959911584854126,,,,
1883,129,264192,140,0.457888126373291,0.0002,0.02328893356025219,128,0.13149386644363403,-0.6954932808876038,,,,
1875,130,266240,141,0.1680101752281189,0.0002,-0.03203146532177925,129,0.13615430891513824,-0.6922550797462463,,,,
1866,131,268288,143,0.28732603788375854,0.0002,0.0062208944000303745,130,0.12983646988868713,-0.6883472204208374,,,,
1855,132,270336,145,0.43057781457901,0.0002,-0.033663779497146606,131,0.1314055472612381,-0.6694366931915283,,,,
1847,133,272384,147,0.37016230821609497,0.0002,0.0006963892374187708,132,0.13575878739356995,-0.6707608699798584,,,,
1840,134,274432,149,0.45813900232315063,0.0002,0.0010566874407231808,133,0.1418779045343399,-0.687812328338623,,,,
1835,135,276480,150,-0.04010593891143799,0.0002,-0.006279622670263052,134,0.15527431666851044,-0.7025080919265747,,,,
1831,136,278528,152,0.41174769401550293,0.0002,0.02684158645570278,135,0.1495342254638672,-0.7096073627471924,,,,
1825,137,280576,153,0.41195154190063477,0.0002,-0.017681119963526726,136,0.14063528180122375,-0.708242654800415,,,,
1820,138,282624,155,0.4582480788230896,0.0002,0.030339602380990982,137,0.13992547988891602,-0.7055835723876953,,,,
1814,139,284672,156,0.4816471338272095,0.0002,-0.0058552585542202,138,0.13700874149799347,-0.7082467079162598,,,,
1809,140,286720,158,0.258323073387146,0.0002,0.021232599392533302,139,0.14383980631828308,-0.7137590646743774,,,,
1801,141,288768,160,0.2110171914100647,0.0002,-0.041984282433986664,140,0.1385056972503662,-0.710782527923584,,,,
1797,142,290816,161,0.3340015411376953,0.0002,0.020732076838612556,141,0.14694269001483917,-0.7140408158302307,,,,
1792,143,292864,163,0.5704222619533539,0.0002,-0.01704934984445572,142,0.13876670598983765,-0.7129799723625183,,,,
1785,144,294912,165,0.5349135994911194,0.0002,0.015083412639796734,143,0.13530591130256653,-0.714952826499939,,,,
1779,145,296960,166,0.5235649347305298,0.0002,-0.021027907729148865,144,0.11396129429340363,-0.716282844543457,,,,
1772,146,299008,168,0.23975533246994019,0.0002,0.004940582439303398,145,0.14043928682804108,-0.7143882513046265,,,,
1765,147,301056,170,0.5424659848213196,0.0002,-0.005675368942320347,146,0.13420265913009644,-0.7163824439048767,,,,
1760,148,303104,172,0.4988354444503784,0.0002,0.00781764555722475,147,0.13866236805915833,-0.7069141864776611,,,,
1754,149,305152,173,0.5311514437198639,0.0002,0.0015604253858327866,148,0.15275946259498596,-0.7036483287811279,,,,
1749,150,307200,175,0.538709819316864,0.0002,-0.011779509484767914,149,0.12716113030910492,-0.7183346748352051,,,,
1743,151,309248,177,0.18721431493759155,0.0002,0.00020910496823489666,150,0.1405438482761383,-0.7153564691543579,,,,
1736,152,311296,179,0.5099157989025116,0.0002,-0.001624743570573628,151,0.12822729349136353,-0.7057813405990601,,,,
1730,153,313344,181,0.4798579812049866,0.0002,-0.0017859432846307755,152,0.12614281475543976,-0.7090631127357483,,,,
1725,154,315392,182,0.3556744456291199,0.0002,0.009565137326717377,153,0.15475454926490784,-0.7156070470809937,,,,
1721,155,317440,184,0.325128436088562,0.0002,-0.015269960276782513,154,0.1253567636013031,-0.7144058346748352,,,,
1713,156,319488,186,0.12771445512771606,0.0002,0.0012274959590286016,155,0.13418813049793243,-0.7100036144256592,,,,
1701,157,321536,189,0.4879416823387146,0.0002,-0.0013278888072818518,156,0.13017232716083527,-0.7080749273300171,20.4,11697.01953125,,
1690,158,323584,191,0.4179608225822449,0.0002,0.0227688979357481,157,0.13018199801445007,-0.7165228724479675,,,,
1686,159,325632,193,0.4129456877708435,0.0002,-0.038406066596508026,158,0.13006700575351715,-0.7124789953231812,,,,
1679,160,327680,195,0.16269785165786743,0.0002,0.01312386617064476,159,0.1356361210346222,-0.7117171287536621,,,,
1675,161,329728,196,0.19501644372940063,0.0002,-0.0021186014637351036,160,0.14183813333511353,-0.7134896516799927,,,,
1670,162,331776,198,0.2610331177711487,0.0002,-0.010648027062416077,161,0.1373516321182251,-0.7132468223571777,,,,
1662,163,333824,200,0.3911847472190857,0.0002,0.009648177772760391,162,0.12453806400299072,-0.7127642631530762,,,,
1656,164,335872,202,0.4351204037666321,0.0002,0.000753023661673069,163,0.12395157665014267,-0.7071642279624939,,,,
1650,165,337920,204,0.31605297327041626,0.0002,-0.001421079970896244,164,0.12851929664611816,-0.7202929258346558,,,,
1645,166,339968,206,0.27237558364868164,0.0002,-0.013260962441563606,165,0.1382690966129303,-0.7253019213676453,,,,
1641,167,342016,208,0.18880963325500488,0.0002,0.02274996042251587,166,0.1308511197566986,-0.7241692543029785,,,,
1637,168,344064,210,0.04559105634689331,0.0002,-0.006767755839973688,167,0.14894013106822968,-0.7257300615310669,,,,
1630,169,346112,212,0.14795351028442383,0.0002,0.0017849691212177277,168,0.1274515986442566,-0.7233395576477051,,,,
1624,170,348160,214,0.1743890643119812,0.0002,-0.0015196048188954592,169,0.12852072715759277,-0.723997950553894,,,,
1618,171,350208,216,0.17762619256973267,0.0002,0.016491077840328217,170,0.13759535551071167,-0.723876416683197,,,,
1612,172,352256,218,-0.05320143699645996,0.0002,-0.010633732192218304,171,0.14280563592910767,-0.7222631573677063,,,,
1605,173,354304,220,0.08445531129837036,0.0002,0.007015250623226166,172,0.12521100044250488,-0.7212905883789062,,,,
1599,174,356352,222,0.18721717596054077,0.0002,-0.022135939449071884,173,0.11900810897350311,-0.7200840711593628,,,,
1594,175,358400,224,0.2695954442024231,0.0002,0.007074734196066856,174,0.1219840720295906,-0.7225246429443359,,,,
1588,176,360448,226,0.4653165936470032,0.0002,-0.01114210207015276,175,0.11546725034713745,-0.728495717048645,,,,
1582,177,362496,229,0.11506843566894531,0.0002,-0.0001874102745205164,176,0.123370461165905,-0.7279584407806396,,,,
1577,178,364544,231,0.007945835590362549,0.0002,-0.0070506371557712555,177,0.12561677396297455,-0.7240644693374634,,,,
1571,179,366592,233,0.24013549089431763,0.0002,0.008608775213360786,178,0.11100706458091736,-0.7257720232009888,,,,
1565,180,368640,235,0.20966887474060059,0.0002,-0.02191828191280365,179,0.11706319451332092,-0.7240346670150757,,,,
1560,181,370688,237,-0.06197810173034668,0.0002,0.009988627396523952,180,0.13376140594482422,-0.7252904176712036,,,,
1554,182,372736,239,0.05927145481109619,0.0002,0.002120701363310218,181,0.12836602330207825,-0.724755048751831,,,,
1549,183,374784,241,0.05794847011566162,0.0002,-0.000175106106325984,182,0.12295572459697723,-0.7256122827529907,,,-1704.293302,23352.0
1543,184,376832,244,-0.04039120674133301,0.0002,0.034345582127571106,183,0.16056519746780396,-0.7223678231239319,,,-1704.293302,23352.0
1539,185,378880,246,0.014568507671356201,0.0002,0.010406803339719772,184,0.1285468339920044,-0.7237814664840698,,,-1704.293302,23352.0
1534,186,380928,248,-0.0714188814163208,0.0002,-0.0047789039090275764,185,0.12266471236944199,-0.7155018448829651,,,-1704.293302,23352.0
1529,187,382976,250,-0.09638416767120361,0.0002,-0.0029311031103134155,186,0.12382397800683975,-0.7153289318084717,,,-1704.293302,23352.0
1524,188,385024,252,-0.11663436889648438,0.0002,0.00954076275229454,187,0.12295596301555634,-0.7142306566238403,,,-1704.293302,23352.0
1519,189,387072,254,-0.037993669509887695,0.0002,-0.013543633744120598,188,0.1168564110994339,-0.7067215442657471,,,-1704.293302,23352.0
1514,190,389120,256,-0.026926755905151367,0.0002,0.020741906017065048,189,0.1192203015089035,-0.7187254428863525,,,-1704.293302,23352.0
1509,191,391168,259,-0.05264711380004883,0.0002,-0.02138761430978775,190,0.1185298040509224,-0.7177419066429138,,,-1704.293302,23352.0
1504,192,393216,261,-0.015974998474121094,0.0002,0.0034715854562819004,191,0.11922281980514526,-0.7172295451164246,,,-1704.293302,23352.0
1500,193,395264,263,0.02579498291015625,0.0002,-0.01764209195971489,192,0.12037578225135803,-0.7145410776138306,,,-1704.293302,23352.0
1496,194,397312,265,-0.07190942764282227,0.0002,0.014910666272044182,193,0.11803138256072998,-0.7140454053878784,,,-1704.293302,23352.0
1492,195,399360,267,0.0023108720779418945,0.0002,-0.015653735026717186,194,0.11698366701602936,-0.7190775275230408,,,-1704.293302,23352.0
