time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_loss,resources/cpu_percent,resources/memory_mb
139,175104,1256,171,-6.348114967346191,-1.0925246477127075,0.0002,170,0.03297559171915054,0.000550007913261652,,
140,176128,1252,172,-8.279964447021484,-1.0930445194244385,0.0002,171,0.00973442941904068,-0.005019380711019039,,
141,177152,1249,173,-19.06575584411621,-1.0926382541656494,0.0002,172,0.007157747633755207,-0.0017519595567137003,,
143,178176,1245,174,-21.165668487548828,-1.0927810668945312,0.0002,173,0.012944345362484455,0.0004909045528620481,,
144,179200,1242,175,-14.196167945861816,-1.093069076538086,0.0002,174,0.010877777822315693,-0.0018374681239947677,,
145,180224,1238,176,-0.4769366979598999,-1.0931947231292725,0.0002,175,0.0317094549536705,0.00932352151721716,,
146,181248,1235,177,-7.031094551086426,-1.0937750339508057,0.0002,176,0.024533044546842575,-0.039159636944532394,,
147,182272,1232,178,-7.889585494995117,-1.0934919118881226,0.0002,177,0.007919538766145706,0.0315915010869503,,
149,183296,1228,179,-9.32542896270752,-1.0931191444396973,0.0002,178,0.009360941126942635,-0.02889440208673477,,
150,184320,1225,180,-10.68799114227295,-1.0932588577270508,0.0002,179,0.023454545065760612,0.013660786673426628,,
151,185344,1222,181,-15.020336151123047,-1.0935379266738892,0.0002,180,0.009595598094165325,-0.00910999532788992,,
152,186368,1218,182,-8.093412399291992,-1.0934274196624756,0.0002,181,0.004300438798964024,0.0019380968296900392,,
154,187392,1215,183,-2.0358726978302,-1.0938162803649902,0.0002,182,0.016976557672023773,0.008026243187487125,,
155,188416,1212,184,-14.23580551147461,-1.0938664674758911,0.0002,183,0.006935583893209696,-0.018499726429581642,,
156,189440,1209,185,-29.4247989654541,-1.0940146446228027,0.0002,184,0.006263321731239557,0.02083805948495865,,
157,190464,1205,186,-4.169029235839844,-1.093752145767212,0.0002,185,0.039015285670757294,-0.030223503708839417,,
159,191488,1202,187,-18.780948638916016,-1.0940380096435547,0.0002,186,0.008741523139178753,0.007650457322597504,,
160,192512,1199,188,-13.677139282226562,-1.0940110683441162,0.0002,187,0.0048568351194262505,-0.0032065878622233868,,
161,193536,1195,189,-10.877328872680664,-1.0942118167877197,0.0002,188,0.007183173205703497,0.0017053240444511175,,
163,194560,1192,190,-14.888880729675293,-1.0943443775177002,0.0002,189,0.005333644337952137,-0.001259385608136654,,
164,195584,1189,191,-13.950934410095215,-1.094009280204773,0.0002,190,0.0054051377810537815,-0.003478538477793336,,
165,196608,1186,192,-17.274389266967773,-1.094173789024353,0.0002,191,0.00974871963262558,0.007291215937584639,,
167,197632,1182,193,-3.4917922019958496,-1.0941166877746582,0.0002,192,0.06518964469432831,-0.022490262985229492,,
168,198656,1179,194,-7.507386207580566,-1.0942169427871704,0.0002,193,0.006108543835580349,-0.004357791505753994,,
169,199680,1176,195,-8.505624771118164,-1.0943763256072998,0.0002,194,0.003927968442440033,0.004530847072601318,,
171,200704,1172,196,-9.293044090270996,-1.0941641330718994,0.0002,195,0.009368529543280602,0.0024448628537356853,0.0,10326.5859375
172,201728,1169,197,-7.384244918823242,-1.094155192375183,0.0002,196,0.0044297040440142155,-0.012342719361186028,,
173,202752,1166,198,-6.4061102867126465,-1.0939861536026,0.0002,197,0.014791334047913551,0.014239194802939892,,
175,203776,1163,199,-6.5857391357421875,-1.094534993171692,0.0002,198,0.00654760655015707,-0.02462051436305046,,
176,204800,1160,200,-1.2827763557434082,-1.0943598747253418,0.0002,199,0.041379235684871674,0.021225910633802414,,
177,205824,1157,201,-6.9092936515808105,-1.0940533876419067,0.0002,200,0.007550030015408993,-0.04082473739981651,,
179,206848,1154,202,-10.318986892700195,-1.0938605070114136,0.0002,201,0.010852957144379616,0.03807558864355087,,
180,207872,1151,203,-9.318318367004395,-1.0943487882614136,0.0002,202,0.013274464756250381,-0.03670285642147064,,
181,208896,1148,204,-3.6648950576782227,-1.0944007635116577,0.0002,203,0.01820439100265503,0.017193160951137543,,
183,209920,1145,205,-7.773225784301758,-1.0940406322479248,0.0002,204,0.007981646806001663,-0.017423175275325775,,
184,210944,1142,206,-19.696474075317383,-1.094238519668579,0.0002,205,0.005424823611974716,0.019655391573905945,,
186,211968,1139,207,-9.119766235351562,-1.0939736366271973,0.0002,206,0.00661026407033205,-0.02007603645324707,,
187,212992,1136,208,-6.281303882598877,-1.0938702821731567,0.0002,207,0.020884037017822266,0.017160002142190933,,
189,214016,1130,209,-5.716452121734619,-1.0942401885986328,0.0002,208,0.006360097788274288,-0.028031405061483383,,
